ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Age,Customer_For_Days,Family_Size,TotalSpent,TotalPurchases,SpendPerPurchase,DealRate,WebChannelShare,CatalogChannelShare,StoreChannelShare
4047,1954,PhD,Married,65324.0,0,1,2014-01-11,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,3,11,0,72,4488,3,544,24,22.666666666666668,0.125,0.35294117647058826,0.11764705882352941,0.5294117647058824
1409,1951,Graduation,Together,40689.0,0,1,2013-03-18,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,3,11,0,75,4787,3,444,28,15.857142857142858,0.25,0.5384615384615384,0.07692307692307693,0.38461538461538464
7892,1969,Graduation,Single,18589.0,0,0,2013-01-02,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,3,11,0,57,4862,1,75,15,5.0,0.13333333333333333,0.3333333333333333,0.16666666666666666,0.5
2404,1976,Graduation,Married,53359.0,1,1,2013-05-27,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,3,11,0,50,4717,4,257,21,12.238095238095237,0.19047619047619047,0.5,0.1,0.4
9422,1989,Graduation,Married,38360.0,1,0,2013-05-31,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,3,11,0,37,4713,3,131,12,10.916666666666666,0.16666666666666666,0.2857142857142857,0.14285714285714285,0.5714285714285714
1966,1965,PhD,Married,84618.0,0,0,2013-11-22,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,3,11,0,61,4538,2,1672,28,59.714285714285715,0.03571428571428571,0.24,0.36,0.4
6864,1989,Master,Divorced,10979.0,0,0,2014-05-22,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,3,11,0,37,4357,1,30,13,2.3076923076923075,0.15384615384615385,0.5,0.0,0.5
3033,1963,Master,Together,38620.0,0,0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,63,4733,2,318,14,22.714285714285715,0.07142857142857142,0.2,0.5,0.3
5710,1970,Graduation,Together,40548.0,0,1,2012-10-10,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,3,11,0,56,4946,3,120,14,8.571428571428571,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.5714285714285714
7373,1952,PhD,Divorced,46610.0,0,2,2012-10-29,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,3,11,1,74,4927,3,302,23,13.130434782608695,0.2608695652173913,0.36363636363636365,0.09090909090909091,0.5454545454545454
8755,1946,Master,Married,68657.0,0,0,2013-02-20,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,3,11,0,80,4813,2,1196,25,47.84,0.04,0.17647058823529413,0.29411764705882354,0.5294117647058824
10738,1951,Master,Single,49389.0,1,1,2013-08-29,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,3,11,0,75,4623,3,65,13,5.0,0.07692307692307693,0.4,0.0,0.6
4339,1970,PhD,Married,67353.0,0,1,2013-12-31,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,3,11,0,56,4499,3,913,30,30.433333333333334,0.16666666666666666,0.21739130434782608,0.2608695652173913,0.5217391304347826
10755,1976,2n Cycle,Married,23718.0,1,0,2013-09-02,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,3,11,0,50,4619,3,81,16,5.0625,0.1875,0.5,0.16666666666666666,0.3333333333333333
8595,1973,Graduation,Widow,42429.0,0,1,2014-02-11,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,3,11,0,53,4457,2,67,12,5.583333333333333,0.16666666666666666,0.2,0.2,0.6
2968,1943,PhD,Divorced,48948.0,0,0,2013-02-01,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,3,11,1,83,4832,1,902,30,30.066666666666666,0.06666666666666667,0.3181818181818182,0.45454545454545453,0.22727272727272727
8601,1980,Graduation,Married,80011.0,0,1,2013-04-29,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,3,11,0,46,4745,3,1395,25,55.8,0.08,0.42105263157894735,0.3157894736842105,0.2631578947368421
503,1985,Master,Married,20559.0,1,0,2013-03-12,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,3,11,0,41,4793,3,53,15,3.533333333333333,0.13333333333333333,0.4,0.0,0.6
8430,1957,Graduation,Together,21994.0,0,1,2012-12-24,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,3,11,0,69,4871,3,22,9,2.4444444444444446,0.1111111111111111,0.0,0.0,1.0
2139,1975,Master,Married,7500.0,1,0,2013-10-02,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,3,11,0,51,4589,3,31,13,2.3846153846153846,0.23076923076923078,0.4,0.0,0.6
1371,1976,Graduation,Single,79941.0,0,0,2014-06-28,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,3,11,0,50,4320,1,984,17,57.88235294117647,0.058823529411764705,0.13333333333333333,0.26666666666666666,0.6
9909,1996,2n Cycle,Married,7500.0,0,0,2012-11-09,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,3,11,1,30,4916,2,122,19,6.421052631578948,0.15789473684210525,0.42857142857142855,0.14285714285714285,0.42857142857142855
7286,1968,Graduation,Together,41728.0,1,0,2013-05-24,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,3,11,0,58,4720,3,55,15,3.6666666666666665,0.06666666666666667,0.5,0.0,0.5
6566,1954,PhD,Married,72550.0,1,1,2012-11-08,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,3,11,0,72,4917,4,1319,36,36.638888888888886,0.25,0.2631578947368421,0.10526315789473684,0.631578947368421
8614,1957,Graduation,Widow,65486.0,0,1,2014-05-12,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,3,11,0,69,4367,2,507,19,26.68421052631579,0.05263157894736842,0.25,0.125,0.625
4114,1964,Master,Married,79143.0,0,0,2012-08-11,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,3,11,0,62,5006,2,1693,32,52.90625,0.03125,0.21428571428571427,0.32142857142857145,0.4642857142857143
1331,1977,Graduation,Single,35790.0,1,0,2013-01-02,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,3,11,0,49,4862,2,72,14,5.142857142857143,0.14285714285714285,0.4,0.0,0.6
2225,1977,Graduation,Divorced,82582.0,0,0,2014-06-07,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,3,11,1,49,4341,1,1617,22,73.5,0.045454545454545456,0.2,0.45,0.35
9381,1978,Graduation,Married,66373.0,1,1,2013-06-12,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,3,11,0,48,4701,4,606,26,23.307692307692307,0.2692307692307692,0.25,0.125,0.625
6260,1955,Master,Together,82384.0,0,0,2012-11-19,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,3,11,1,71,4906,2,1957,28,69.89285714285714,0.03571428571428571,0.11538461538461539,0.38461538461538464,0.5
10383,1966,Graduation,Divorced,70287.0,0,0,2013-04-02,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,3,11,1,60,4772,1,1093,24,45.541666666666664,0.041666666666666664,0.25,0.25,0.5
7437,1988,Graduation,Single,27938.0,1,0,2014-04-28,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,3,11,0,38,4381,2,29,9,3.2222222222222223,0.1111111111111111,0.2,0.0,0.8
8375,1968,PhD,Married,55954.0,0,1,2014-03-03,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,3,11,0,58,4437,3,518,26,19.923076923076923,0.11538461538461539,0.5,0.125,0.375
6853,1982,Master,Single,75777.0,0,0,2013-07-04,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,3,11,1,44,4679,1,1438,22,65.36363636363636,0.045454545454545456,0.15,0.3,0.55
3076,1975,Graduation,Together,66653.0,1,1,2012-09-07,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,3,11,0,51,4979,4,612,25,24.48,0.16,0.2222222222222222,0.1111111111111111,0.6666666666666666
1012,1952,Graduation,Single,61823.0,0,1,2013-02-18,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,3,11,0,74,4815,2,884,31,28.516129032258064,0.12903225806451613,0.4,0.1,0.5
6518,1951,PhD,Widow,67680.0,0,1,2013-06-11,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,3,11,0,75,4702,2,606,24,25.25,0.041666666666666664,0.3888888888888889,0.16666666666666666,0.4444444444444444
4137,1948,Graduation,Together,70666.0,0,0,2013-12-06,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,3,11,0,78,4524,2,1076,20,53.8,0.05,0.4666666666666667,0.26666666666666666,0.26666666666666666
8082,1971,Graduation,Married,25721.0,1,0,2013-05-21,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,3,11,1,55,4723,3,34,12,2.8333333333333335,0.08333333333333333,0.25,0.25,0.5
1386,1967,Graduation,Together,32474.0,1,1,2014-05-11,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,3,11,0,59,4368,4,11,11,1.0,0.09090909090909091,0.3333333333333333,0.0,0.6666666666666666
9369,1979,2n Cycle,Single,88194.0,0,1,2014-03-19,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,3,11,1,47,4421,2,1274,37,34.432432432432435,0.02702702702702703,0.3548387096774194,0.3225806451612903,0.3225806451612903
4477,1958,Graduation,Together,69096.0,0,1,2013-09-27,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,3,11,0,68,4594,3,653,22,29.681818181818183,0.045454545454545456,0.29411764705882354,0.11764705882352941,0.5882352941176471
1357,1970,Graduation,Together,74854.0,1,2,2013-04-08,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,3,11,0,56,4766,5,1562,24,65.08333333333333,0.2916666666666667,0.16666666666666666,0.4166666666666667,0.4166666666666667
1402,1954,Master,Married,66991.0,0,0,2012-09-11,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,3,11,0,72,4975,2,1253,24,52.208333333333336,0.125,0.2222222222222222,0.4444444444444444,0.3333333333333333
6312,1959,Graduation,Married,65031.0,0,1,2013-03-17,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,3,11,0,67,4788,3,863,37,23.324324324324323,0.10810810810810811,0.38461538461538464,0.11538461538461539,0.5
8132,1975,PhD,Married,60631.0,1,1,2013-04-05,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,3,11,0,51,4769,4,661,31,21.322580645161292,0.16129032258064516,0.47368421052631576,0.10526315789473684,0.42105263157894735
1050,1952,Graduation,Married,28332.0,0,0,2014-04-30,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,3,11,0,74,4379,2,65,10,6.5,0.1,0.2857142857142857,0.14285714285714285,0.5714285714285714
5846,1977,Graduation,Divorced,40246.0,1,0,2012-12-19,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,3,11,0,49,4876,2,13,10,1.3,0.1,0.3333333333333333,0.0,0.6666666666666666
1859,1972,Master,Married,75251.0,0,0,2012-08-27,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,3,11,1,54,4990,2,1890,24,78.75,0.041666666666666664,0.3888888888888889,0.3333333333333333,0.2777777777777778
7503,1976,Graduation,Single,75825.0,0,0,2012-10-12,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,3,11,1,50,4944,1,2209,26,84.96153846153847,0.0,0.22727272727272727,0.36363636363636365,0.4090909090909091
10401,1976,2n Cycle,Together,26326.0,0,0,2013-09-04,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,3,11,0,50,4617,2,18,7,2.5714285714285716,0.14285714285714285,0.0,0.0,1.0
1618,1965,Graduation,Together,56046.0,0,0,2013-01-02,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,3,11,1,61,4862,2,692,29,23.862068965517242,0.06896551724137931,0.5263157894736842,0.05263157894736842,0.42105263157894735
3332,1985,Graduation,Single,29760.0,1,0,2012-08-29,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,3,11,0,41,4988,2,165,20,8.25,0.2,0.375,0.125,0.5
2261,1969,Graduation,Married,26304.0,1,0,2013-06-23,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,3,11,0,57,4690,3,16,11,1.4545454545454546,0.09090909090909091,0.3333333333333333,0.0,0.6666666666666666
5346,1973,2n Cycle,Married,23559.0,1,0,2013-07-03,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,3,11,0,53,4680,3,79,16,4.9375,0.1875,0.5,0.0,0.5
4119,1963,Master,Together,38620.0,0,0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,63,4733,2,318,14,22.714285714285715,0.07142857142857142,0.2,0.5,0.3
535,1987,Graduation,Divorced,81361.0,0,0,2014-02-25,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,3,11,0,39,4443,1,778,28,27.785714285714285,0.03571428571428571,0.11538461538461539,0.38461538461538464,0.5
5268,1960,Graduation,Married,29440.0,1,1,2013-08-11,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,3,11,0,66,4641,4,56,14,4.0,0.14285714285714285,0.2,0.0,0.8
273,1970,Master,Married,36138.0,1,1,2013-07-16,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,3,11,0,56,4667,4,151,20,7.55,0.25,0.375,0.125,0.5
4452,1957,Graduation,Single,50388.0,0,1,2014-05-28,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,3,11,1,69,4351,2,372,24,15.5,0.16666666666666666,0.46153846153846156,0.07692307692307693,0.46153846153846156
8504,1973,Graduation,Married,79593.0,0,0,2014-05-12,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,3,11,0,53,4367,2,1366,21,65.04761904761905,0.047619047619047616,0.2777777777777778,0.3333333333333333,0.3888888888888889
771,1967,Graduation,Together,54178.0,0,1,2014-01-21,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,3,11,0,59,4478,3,194,12,16.166666666666668,0.08333333333333333,0.2222222222222222,0.2222222222222222,0.5555555555555556
11178,1972,Master,Single,42394.0,1,0,2014-03-23,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,3,11,0,54,4417,2,32,12,2.6666666666666665,0.08333333333333333,0.25,0.0,0.75
2230,1970,PhD,Married,23626.0,1,0,2014-05-24,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,3,11,0,56,4355,3,43,15,2.8666666666666667,0.2,0.42857142857142855,0.14285714285714285,0.42857142857142855
7516,1983,Graduation,Married,30096.0,1,0,2014-05-22,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,3,11,0,43,4357,3,45,12,3.75,0.08333333333333333,0.4,0.0,0.6
7247,1960,Graduation,Widow,47916.0,0,1,2012-11-22,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,3,11,0,66,4903,2,606,28,21.642857142857142,0.17857142857142858,0.4117647058823529,0.23529411764705882,0.35294117647058826
11100,1972,Graduation,Divorced,51813.0,1,1,2013-04-11,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,3,11,0,54,4763,3,63,14,4.5,0.14285714285714285,0.4,0.0,0.6
4646,1951,2n Cycle,Married,78497.0,0,0,2013-12-01,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,3,11,0,75,4529,2,978,27,36.22222222222222,0.037037037037037035,0.20833333333333334,0.2916666666666667,0.5
3037,1983,PhD,Married,50150.0,0,0,2013-06-20,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,3,11,0,43,4693,2,410,21,19.523809523809526,0.09523809523809523,0.35714285714285715,0.14285714285714285,0.5
1473,1960,2n Cycle,Single,47823.0,0,1,2013-07-23,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,3,11,0,66,4660,2,72,15,4.8,0.13333333333333333,0.4,0.0,0.6
1016,1959,PhD,Single,34554.0,0,1,2014-03-30,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,3,11,0,67,4410,2,55,13,4.230769230769231,0.15384615384615385,0.4,0.0,0.6
4518,1979,Graduation,Together,85693.0,0,1,2013-04-20,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,3,11,0,47,4754,3,1169,32,36.53125,0.0625,0.36,0.2,0.44
9370,1945,PhD,Married,65846.0,0,0,2013-05-17,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,3,11,0,81,4727,2,1120,20,56.0,0.05,0.4,0.2,0.4
8908,1959,Graduation,Married,87195.0,0,0,2014-05-08,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,3,11,1,67,4371,2,1097,21,52.23809523809524,0.047619047619047616,0.15789473684210525,0.5789473684210527,0.2631578947368421
8373,1979,Basic,Together,24594.0,1,0,2013-12-10,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,3,11,0,47,4520,3,29,10,2.9,0.1,0.25,0.0,0.75
7533,1964,Graduation,Married,49096.0,1,1,2013-09-24,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,3,11,0,62,4597,4,187,20,9.35,0.2,0.4444444444444444,0.1111111111111111,0.4444444444444444
2683,1969,Graduation,Married,52413.0,0,2,2013-02-02,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,3,11,0,57,4831,4,910,32,28.4375,0.125,0.2727272727272727,0.18181818181818182,0.5454545454545454
3629,1978,Graduation,Single,38557.0,1,0,2012-12-19,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,3,11,0,48,4876,2,145,16,9.0625,0.125,0.42857142857142855,0.14285714285714285,0.42857142857142855
10991,1960,Master,Married,89058.0,0,0,2012-12-07,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,3,11,0,66,4888,2,850,16,53.125,0.0625,0.38461538461538464,0.3076923076923077,0.3076923076923077
5077,1979,Graduation,Together,77298.0,0,1,2013-11-02,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,3,11,0,47,4558,3,969,27,35.888888888888886,0.037037037037037035,0.2608695652173913,0.2608695652173913,0.4782608695652174
7431,1991,PhD,Single,68126.0,0,0,2012-11-10,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,3,11,1,35,4915,1,1820,26,70.0,0.038461538461538464,0.4375,0.25,0.3125
3267,1963,Master,Together,57288.0,0,1,2014-06-25,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,3,11,0,63,4323,3,608,26,23.384615384615383,0.11538461538461539,0.47058823529411764,0.058823529411764705,0.47058823529411764
999,1991,Graduation,Single,86037.0,0,0,2013-01-02,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,3,11,1,35,4862,1,730,28,26.071428571428573,0.03571428571428571,0.25,0.2916666666666667,0.4583333333333333
9215,1980,PhD,Married,43974.0,1,0,2012-12-12,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,3,11,0,46,4883,3,551,28,19.678571428571427,0.17857142857142858,0.375,0.25,0.375
2286,1962,Graduation,Single,50785.0,1,1,2013-09-10,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,3,11,0,64,4611,3,114,14,8.142857142857142,0.14285714285714285,0.3333333333333333,0.16666666666666666,0.5
1592,1970,Graduation,Married,90765.0,0,0,2014-01-24,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,3,11,0,56,4475,2,1724,16,107.75,0.0,0.26666666666666666,0.4,0.3333333333333333
367,1978,2n Cycle,Married,36550.0,1,0,2013-02-19,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,3,11,0,48,4814,3,577,29,19.896551724137932,0.1724137931034483,0.6,0.06666666666666667,0.3333333333333333
5234,1967,2n Cycle,Together,30753.0,1,1,2013-07-11,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,3,11,0,59,4672,4,81,12,6.75,0.16666666666666666,0.2,0.2,0.6
9862,1969,Graduation,Together,21918.0,1,0,2013-11-14,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,3,11,0,57,4546,3,33,13,2.5384615384615383,0.15384615384615385,0.4,0.0,0.6
9805,1953,Master,Together,56129.0,0,1,2013-06-20,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,3,11,0,73,4693,3,660,26,25.384615384615383,0.15384615384615385,0.3333333333333333,0.1111111111111111,0.5555555555555556
6205,1967,Master,Single,32557.0,1,0,2014-02-24,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,3,11,1,59,4444,2,80,14,5.714285714285714,0.21428571428571427,0.3333333333333333,0.16666666666666666,0.5
8442,1985,Master,Married,19510.0,2,0,2013-09-04,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,3,11,0,41,4617,4,30,13,2.3076923076923075,0.15384615384615385,0.25,0.0,0.75
